id,created_at,text
377542194644533250,2013-09-10 21:20:48,b'Tempe has chance to join in cancer research study. Help us prevent cancer for future generations http://t.co/qphi5tG3Ga @EntrepreneurASU'
377541952784179200,2013-09-10 21:19:50,b'Tempe has chance to join in cancer research study. Help us prevent cancer for future generations http://t.co/qphi5tG3Ga @asupresoffice'
377541871116886017,2013-09-10 21:19:31,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generations http://t.co/qphi5tG3Ga @michaelcrow'
377541184475787264,2013-09-10 21:16:47,b'Are you comited to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @TempeElementary'
377539424680022016,2013-09-10 21:09:47,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generations http://t.co/qphi5tG3Ga @asunews'
377521942347001856,2013-09-10 20:00:19,b'Tempe has chance to join in cancer research study. Help us prevent cancer for future generations http://t.co/qphi5tG3Ga @AllAboutTempeAZ'
377521896322899969,2013-09-10 20:00:08,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generations http://t.co/qphi5tG3Ga @TempeNews'
377521878111244289,2013-09-10 20:00:04,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generations http://t.co/qphi5tG3Ga @tempesouth'
377521855256465409,2013-09-10 19:59:58,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generations http://t.co/qphi5tG3Ga @TempeAZNews'
377520476110614528,2013-09-10 19:54:30,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generations http://t.co/qphi5tG3Ga @NSAAROCKS'
377509701300146176,2013-09-10 19:11:41,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generations http://t.co/qphi5tG3Ga @SPARKSatASU'
377509546291253248,2013-09-10 19:11:04,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generations http://t.co/qphi5tG3Ga @Lawongsta12'
377509373687255040,2013-09-10 19:10:23,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generation http://t.co/qphi5tG3Ga @ghost1effect'
377509160968929280,2013-09-10 19:09:32,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generations http://t.co/qphi5tG3Ga @WhisperASU'
